tick,total_infected,total_recovered,total_dead,total_healthy,hot_region_infected,cold_region_infected,moderate_region_infected,airport_usage,port_usage,num_isolated_countries,num_affected_countries,most_affected_country,most_deaths_country,hot_region_transmission_rate,cold_region_transmission_rate,moderate_region_transmission_rate,cross_border_infections,within_country_infections
61,427,68,9,10976,331,38,58,0,650,0,29,Philippines,Philippines,0.05081363217684986,0.018933731938216243,0.019601216627238932,44,383
62,459,75,10,10936,359,41,59,0,654,0,31,Philippines,Philippines,0.05511206631869819,0.02042850024912805,0.019939168638053395,42,417
63,477,80,10,10913,374,42,61,0,667,0,32,Philippines,Philippines,0.05741479889468836,0.02092675635276532,0.020615072659682324,49,428
64,502,85,12,10881,390,45,67,0,675,0,32,Philippines,Philippines,0.05987104697574455,0.02242152466367713,0.022642784724569112,47,455
65,516,90,14,10860,400,46,70,0,684,0,33,Philippines,Philippines,0.06140620202640467,0.0229197807673144,0.023656640757012504,45,471
66,525,102,15,10838,402,51,72,0,696,0,33,Philippines,Philippines,0.06171323303653669,0.025411061285500747,0.024332544778641434,48,477
67,540,108,18,10814,409,58,73,0,709,0,33,Kenya,Philippines,0.06278784157199878,0.028898854010961636,0.024670496789455897,55,485
68,564,118,18,10780,421,64,79,0,716,0,33,Kenya,Philippines,0.06463002763279091,0.03188839063278525,0.026698208854342684,54,510
69,587,128,18,10747,436,68,83,0,721,0,33,Kenya,Philippines,0.06693276020878108,0.03388141504733433,0.02805001689760054,46,541
70,606,142,19,10713,450,69,87,0,732,0,34,Kenya,Philippines,0.06908197727970525,0.0343796711509716,0.029401824940858398,48,558
71,619,157,20,10684,453,71,95,0,738,0,35,Kenya,Philippines,0.06954252379490329,0.03537618335824614,0.032105441027374115,48,571
72,640,171,21,10648,464,75,101,0,739,0,37,Kenya,Philippines,0.07123119435062941,0.03736920777279522,0.0341331530922609,40,600
73,655,186,22,10617,465,82,108,0,755,0,38,Kenya,Philippines,0.07138470985569542,0.0408570004982561,0.03649881716796215,42,613
74,670,201,24,10585,463,92,115,0,768,0,41,Kenya,Philippines,0.0710776788455634,0.0458395615346288,0.0388644812436634,41,629
75,686,217,26,10551,461,98,127,0,776,0,41,Kenya,Philippines,0.07077064783543138,0.048829098156452415,0.04291990537343697,37,649
76,704,227,27,10522,461,103,140,0,787,0,41,Kenya,Tanzania,0.07077064783543138,0.05132037867463876,0.04731328151402501,38,666
77,727,231,29,10493,464,116,147,0,798,0,43,Kenya,Philippines,0.07123119435062941,0.05779770802192327,0.049678945589726256,39,688
78,735,246,32,10467,460,120,155,0,803,0,43,Kenya,Philippines,0.07061713233036537,0.059790732436472344,0.05238256167624197,39,696
79,757,258,32,10433,461,123,173,0,808,0,43,Ethiopia,Philippines,0.07077064783543138,0.061285500747384154,0.05846569787090233,33,724
80,781,273,34,10392,459,132,190,0,816,0,43,Ethiopia,Philippines,0.07046361682529935,0.06576980568011959,0.06421088205474823,30,751
81,793,289,35,10363,453,133,207,0,822,0,43,Ethiopia,Philippines,0.06954252379490329,0.06626806178375685,0.06995606623859411,29,764
82,814,304,37,10325,453,141,220,0,828,0,44,Ethiopia,Philippines,0.06954252379490329,0.07025411061285501,0.07434944237918216,24,790
83,835,326,38,10281,449,155,231,0,840,0,47,Ethiopia,Indonesia,0.06892846177463924,0.07722969606377678,0.07806691449814127,26,809
84,883,343,42,10212,447,200,236,0,849,0,46,Ethiopia,Indonesia,0.06862143076450722,0.09965122072745392,0.07975667455221358,26,857
85,924,358,44,10154,457,228,239,0,858,0,49,Ethiopia,Indonesia,0.07015658581516733,0.11360239162929746,0.08077053058465698,20,904
86,936,372,47,10125,457,232,247,0,863,0,50,Ethiopia,Indonesia,0.07015658581516733,0.11559541604384654,0.0834741466711727,17,919
87,951,391,51,10087,463,233,255,0,874,0,51,Ethiopia,Indonesia,0.0710776788455634,0.11609367214748381,0.0861777627576884,20,931
