tick,total_infected,total_recovered,total_dead,total_healthy,hot_region_infected,cold_region_infected,moderate_region_infected,airport_usage,port_usage,num_isolated_countries,num_affected_countries,most_affected_country,most_deaths_country,hot_region_transmission_rate,cold_region_transmission_rate,moderate_region_transmission_rate,cross_border_infections,within_country_infections
89,416,371,35,10625,79,2,335,933,367,0,24,Germany,Ukraine,0.012166949022023718,0.007352941176470588,0.07155061939342161,3,413
90,411,384,36,10616,79,2,330,941,370,0,24,Germany,Ukraine,0.012166949022023718,0.007352941176470588,0.07048269970098249,3,408
91,402,403,39,10603,77,2,323,947,371,0,23,Germany,Germany,0.011858924996149699,0.007352941176470588,0.0689876121315677,3,399
92,398,423,42,10584,80,2,316,954,374,0,23,France,Germany,0.012320961034960727,0.007352941176470588,0.06749252456215292,5,393
93,392,442,45,10568,82,1,309,962,378,0,23,France,Germany,0.012628985060834746,0.003676470588235294,0.06599743699273815,9,383
94,396,453,47,10551,85,1,310,970,385,0,23,France,Germany,0.013091021099645772,0.003676470588235294,0.06621102093122597,11,385
95,389,471,49,10538,83,1,305,977,388,0,23,France,Germany,0.012782997073771753,0.003676470588235294,0.06514310123878685,8,381
96,393,487,49,10518,83,1,309,989,395,0,23,France,Germany,0.012782997073771753,0.003676470588235294,0.06599743699273815,7,386
97,394,496,51,10506,85,1,308,997,399,0,23,France,Germany,0.013091021099645772,0.003676470588235294,0.06578385305425032,7,387
98,393,514,53,10487,87,1,305,1008,401,0,25,France,Germany,0.01339904512551979,0.003676470588235294,0.06514310123878685,9,384
99,391,530,54,10472,90,2,299,1013,403,0,26,France,Germany,0.013861081164330817,0.007352941176470588,0.0638615976078599,12,379
100,394,542,57,10454,95,2,297,1025,404,0,25,France,Germany,0.014631141229015864,0.007352941176470588,0.06343442973088424,14,380
101,392,556,57,10442,100,2,290,1035,404,0,26,France,Germany,0.015401201293700909,0.007352941176470588,0.06193934216146946,12,380
102,395,568,58,10426,108,2,285,1038,408,0,26,France,Germany,0.016633297397196982,0.007352941176470588,0.06087142246903033,11,384
103,395,577,58,10417,113,2,280,1046,410,0,28,France,Germany,0.017403357461882027,0.007352941176470588,0.0598035027765912,11,384
104,391,593,58,10405,117,2,272,1055,411,0,28,France,Germany,0.018019405513630064,0.007352941176470588,0.05809483126868859,11,380
105,393,609,59,10386,121,2,270,1065,411,0,29,France,Germany,0.018635453565378098,0.007352941176470588,0.05766766339171294,10,383
106,399,620,64,10364,127,2,270,1072,412,0,26,France,Germany,0.019559525643000154,0.007352941176470588,0.05766766339171294,10,389
107,404,626,64,10353,128,2,274,1084,414,0,26,United Kingdom,Germany,0.019713537655937162,0.007352941176470588,0.05852199914566424,9,395
108,402,636,64,10345,132,2,268,1091,422,0,25,United Kingdom,Germany,0.0203295857076852,0.007352941176470588,0.05724049551473729,9,393
109,402,646,67,10332,136,2,264,1101,426,0,25,United Kingdom,Germany,0.020945633759433237,0.007352941176470588,0.05638615976078599,12,390
110,401,656,69,10321,140,2,259,1109,429,0,25,United Kingdom,Germany,0.02156168181118127,0.007352941176470588,0.05531824006834686,12,389
111,398,666,69,10314,143,2,253,1111,433,0,24,United Kingdom,Germany,0.0220237178499923,0.007352941176470588,0.05403673643741991,11,387
112,389,680,69,10309,139,2,248,1120,438,0,25,United Kingdom,Germany,0.021407669798244263,0.007352941176470588,0.05296881674498078,11,378
113,386,690,69,10302,139,2,245,1128,440,0,25,United Kingdom,Germany,0.021407669798244263,0.007352941176470588,0.0523280649295173,11,375
114,383,698,71,10295,143,2,238,1135,444,0,26,United Kingdom,Germany,0.0220237178499923,0.007352941176470588,0.05083297736010252,12,371
115,374,710,72,10291,142,2,230,1145,446,0,25,United Kingdom,Germany,0.02186970583705529,0.007352941176470588,0.049124305852199915,10,364
116,376,719,72,10280,142,2,232,1152,449,0,25,United Kingdom,Germany,0.02186970583705529,0.007352941176470588,0.049551473729175566,10,366
117,370,730,73,10274,141,2,227,1158,453,0,25,United Kingdom,Germany,0.021715693824118282,0.007352941176470588,0.04848355403673644,7,363
118,369,740,74,10264,144,2,223,1171,455,0,24,United Kingdom,Germany,0.022177729862929308,0.007352941176470588,0.047629218282785137,5,364
119,360,749,77,10261,141,2,217,1181,458,0,24,United Kingdom,Germany,0.021715693824118282,0.007352941176470588,0.046347714651858184,5,355
120,360,755,79,10253,144,2,214,1185,462,0,24,United Kingdom,Germany,0.022177729862929308,0.007352941176470588,0.0457069628363947,6,354
121,353,770,79,10245,141,3,209,1194,462,0,23,United Kingdom,Germany,0.021715693824118282,0.011029411764705883,0.04463904314395557,8,345
122,342,787,79,10239,139,5,198,1210,464,0,21,United Kingdom,Germany,0.021407669798244263,0.01838235294117647,0.04228961982058949,8,334
